,City,Rating,Votes,Price Range,Online Delivery,Table Booking,Average Cost for Two
21080,New Delhi,0,1,1,No,No,300
21081,New Delhi,0,0,1,No,No,50
21082,New Delhi,0,0,1,No,No,350
21083,New Delhi,0,1,1,No,No,250
21084,New Delhi,0,0,1,No,No,200
21085,New Delhi,0,0,2,No,No,500
21086,New Delhi,3.6,26,3,No,No,1000
21087,New Delhi,3.3,24,4,No,Yes,2500
21088,New Delhi,2.7,11,1,No,No,400
21089,New Delhi,3.9,23,2,No,No,700
21090,New Delhi,3.0,22,2,No,Yes,800
21091,New Delhi,2.9,15,2,No,No,500
21092,New Delhi,3.2,17,1,No,No,300
21093,New Delhi,3.1,16,2,No,No,600
21094,New Delhi,2.8,17,2,No,Yes,950
21095,New Delhi,2.7,9,3,No,Yes,1500
21096,New Delhi,2.9,11,2,No,No,600
21097,New Delhi,3.1,16,3,No,Yes,1000
21098,New Delhi,3.1,12,1,No,No,400
21099,New Delhi,2.8,10,2,No,Yes,900
21100,New Delhi,3.1,8,2,No,No,500
21101,New Delhi,2.9,6,1,No,No,450
21102,New Delhi,0,3,1,No,No,450
21103,New Delhi,2.8,5,1,No,No,300
21104,New Delhi,0,3,1,No,No,400
21105,New Delhi,3.1,6,2,No,No,700
21106,New Delhi,0,2,1,No,No,300
21107,New Delhi,0,1,1,No,No,100
21108,New Delhi,0,3,1,No,No,400
21109,New Delhi,0,2,1,No,No,150
21110,New Delhi,2.8,7,1,No,No,200
21111,New Delhi,0,2,1,No,No,300
21112,New Delhi,0,2,1,No,No,200
21113,New Delhi,0,1,1,No,No,300
21114,New Delhi,0,1,1,No,No,200
21115,New Delhi,0,1,1,No,No,100
21116,New Delhi,0,1,1,No,No,200
21117,New Delhi,0,1,2,No,No,500
21118,New Delhi,0,0,1,No,No,300
21119,New Delhi,0,0,1,No,No,300
21120,New Delhi,0,0,1,No,No,100
21121,New Delhi,0,0,1,No,No,100
21122,New Delhi,0,0,1,No,No,400
21123,New Delhi,0,0,1,No,No,250
21124,New Delhi,0,0,1,No,No,100
21125,New Delhi,0,0,1,No,No,300
21126,New Delhi,3.9,251,1,No,No,300
21127,New Delhi,3.7,270,2,Yes,No,650
21128,New Delhi,3.9,301,2,No,No,600
21129,New Delhi,2.2,251,1,No,No,350
21130,New Delhi,3.8,196,2,Yes,No,700
21131,New Delhi,3.8,183,1,No,No,200
21132,New Delhi,3.6,146,2,Yes,No,600
21133,New Delhi,3.5,116,2,Yes,Yes,800
21134,New Delhi,3.4,104,2,Yes,No,700
21135,New Delhi,2.6,102,1,Yes,No,450
21136,New Delhi,3.6,75,2,Yes,No,600
21137,New Delhi,3.2,56,1,Yes,No,450
21138,New Delhi,3.2,53,2,Yes,No,600
21139,New Delhi,3.4,49,2,Yes,No,700
21140,New Delhi,3.3,33,2,No,No,600
21141,New Delhi,3.4,44,1,No,No,250
21142,New Delhi,3.3,40,2,No,No,550
21143,New Delhi,3.2,36,3,No,No,1000
